kannada,english,category,kanglish,icon,waudio,,,,,,
ಬುಧವಾರ,wednesday,Days,budhavara,https://ufmwnqllgqrfkdfahptv.supabase.co/storage/v1/object/public/kannada-assets/images/wednesday.png,https://ufmwnqllgqrfkdfahptv.supabase.co/storage/v1/object/public/kannada-assets/audios/wednesday.wav,,,,,,
ಗುರುವಾರ,thursday,Days,guruvara,https://ufmwnqllgqrfkdfahptv.supabase.co/storage/v1/object/public/kannada-assets/images/thursday.png,https://ufmwnqllgqrfkdfahptv.supabase.co/storage/v1/object/public/kannada-assets/audios/thursday.wav,,,,,,
ಶುಕ್ರವಾರ,friday,Days,shukravara,https://ufmwnqllgqrfkdfahptv.supabase.co/storage/v1/object/public/kannada-assets/images/friday.png,https://ufmwnqllgqrfkdfahptv.supabase.co/storage/v1/object/public/kannada-assets/audios/friday.wav,,,,,,
ಶನಿವಾರ,saturday,Days,shanivara,https://ufmwnqllgqrfkdfahptv.supabase.co/storage/v1/object/public/kannada-assets/images/saturday.png,https://ufmwnqllgqrfkdfahptv.supabase.co/storage/v1/object/public/kannada-assets/audios/saturday.wav,,,,,,
ರವಿವಾರ,sunday,Days,ravivara,https://ufmwnqllgqrfkdfahptv.supabase.co/storage/v1/object/public/kannada-assets/images/sunday.png,https://ufmwnqllgqrfkdfahptv.supabase.co/storage/v1/object/public/kannada-assets/audios/sunday.wav,,,,,,
ಒಂದು,one,Numbers,ondu,https://ufmwnqllgqrfkdfahptv.supabase.co/storage/v1/object/public/kannada-assets/images/one.png,https://ufmwnqllgqrfkdfahptv.supabase.co/storage/v1/object/public/kannada-assets/audios/one.wav,,,,,,
ಎರಡು,two,Numbers,eradu,https://ufmwnqllgqrfkdfahptv.supabase.co/storage/v1/object/public/kannada-assets/images/two.png,https://ufmwnqllgqrfkdfahptv.supabase.co/storage/v1/object/public/kannada-assets/audios/two.wav,,,,,,
ಮೂರು,three,Numbers,mooru,https://ufmwnqllgqrfkdfahptv.supabase.co/storage/v1/object/public/kannada-assets/images/three.png,https://ufmwnqllgqrfkdfahptv.supabase.co/storage/v1/object/public/kannada-assets/audios/three.wav,,,,,,
ನಾಲ್ಕು,four,Numbers,nalku,https://ufmwnqllgqrfkdfahptv.supabase.co/storage/v1/object/public/kannada-assets/images/four.png,https://ufmwnqllgqrfkdfahptv.supabase.co/storage/v1/object/public/kannada-assets/audios/four.wav,,,,,,
ಐದು,five,Numbers,aidu,https://ufmwnqllgqrfkdfahptv.supabase.co/storage/v1/object/public/kannada-assets/images/five.png,https://ufmwnqllgqrfkdfahptv.supabase.co/storage/v1/object/public/kannada-assets/audios/five.wav,,,,,,
ಆರು,six,Numbers,aaru,https://ufmwnqllgqrfkdfahptv.supabase.co/storage/v1/object/public/kannada-assets/images/six.png,https://ufmwnqllgqrfkdfahptv.supabase.co/storage/v1/object/public/kannada-assets/audios/six.wav,,,,,,
ಎಳು,seven,Numbers,elu,https://ufmwnqllgqrfkdfahptv.supabase.co/storage/v1/object/public/kannada-assets/images/seven.png,https://ufmwnqllgqrfkdfahptv.supabase.co/storage/v1/object/public/kannada-assets/audios/seven.wav,,,,,,
ಎಂಟು,eight,Numbers,entu,https://ufmwnqllgqrfkdfahptv.supabase.co/storage/v1/object/public/kannada-assets/images/eight.png,https://ufmwnqllgqrfkdfahptv.supabase.co/storage/v1/object/public/kannada-assets/audios/eight.wav,,,,,,
ಒಂಬತ್ತು,nine,Numbers,ombhattu,https://ufmwnqllgqrfkdfahptv.supabase.co/storage/v1/object/public/kannada-assets/images/nine.png,https://ufmwnqllgqrfkdfahptv.supabase.co/storage/v1/object/public/kannada-assets/audios/nine.wav,,,,,,
ಹತ್ತು,ten,Numbers,hattu,https://ufmwnqllgqrfkdfahptv.supabase.co/storage/v1/object/public/kannada-assets/images/ten.png,https://ufmwnqllgqrfkdfahptv.supabase.co/storage/v1/object/public/kannada-assets/audios/ten.wav,,,,,,
ಐವತ್ತು,fifty,Numbers,aivattu,https://ufmwnqllgqrfkdfahptv.supabase.co/storage/v1/object/public/kannada-assets/images/fifty.png,https://ufmwnqllgqrfkdfahptv.supabase.co/storage/v1/object/public/kannada-assets/audios/fifty.wav,,,,,,
ನೂರು,hundred,Numbers,nooru,https://ufmwnqllgqrfkdfahptv.supabase.co/storage/v1/object/public/kannada-assets/images/hundred.png,https://ufmwnqllgqrfkdfahptv.supabase.co/storage/v1/object/public/kannada-assets/audios/hundred.wav,,,,,,
ಐನೂರು,fivehundred,Numbers,ainooru,https://ufmwnqllgqrfkdfahptv.supabase.co/storage/v1/object/public/kannada-assets/images/fivehundred.png,https://ufmwnqllgqrfkdfahptv.supabase.co/storage/v1/object/public/kannada-assets/audios/fivehundred.wav,,,,,,
ಸಾವಿರ,thousand,Numbers,saavira,https://ufmwnqllgqrfkdfahptv.supabase.co/storage/v1/object/public/kannada-assets/images/thousand.png,https://ufmwnqllgqrfkdfahptv.supabase.co/storage/v1/object/public/kannada-assets/audios/thousand.wav,,,,,,
ಲಕ್ಷ,lakh,Numbers,laksha,https://ufmwnqllgqrfkdfahptv.supabase.co/storage/v1/object/public/kannada-assets/images/lakh.png,https://ufmwnqllgqrfkdfahptv.supabase.co/storage/v1/object/public/kannada-assets/audios/lakh.wav,,,,,,
ಕೋಟಿ,crore,Numbers,kothi,https://ufmwnqllgqrfkdfahptv.supabase.co/storage/v1/object/public/kannada-assets/images/crore.png,https://ufmwnqllgqrfkdfahptv.supabase.co/storage/v1/object/public/kannada-assets/audios/crore.wav,,,,,,
ಈಜು,swim,Verbs,eeju,https://ufmwnqllgqrfkdfahptv.supabase.co/storage/v1/object/public/kannada-assets/images/swim.png,https://ufmwnqllgqrfkdfahptv.supabase.co/storage/v1/object/public/kannada-assets/audios/swim.wav,,,,,,
ನಗು,smile,Verbs,nagu,https://ufmwnqllgqrfkdfahptv.supabase.co/storage/v1/object/public/kannada-assets/images/smile.png,https://ufmwnqllgqrfkdfahptv.supabase.co/storage/v1/object/public/kannada-assets/audios/smile.wav,,,,,,
ಹಾಡು,sing,Verbs,haadu,https://ufmwnqllgqrfkdfahptv.supabase.co/storage/v1/object/public/kannada-assets/images/sing.png,https://ufmwnqllgqrfkdfahptv.supabase.co/storage/v1/object/public/kannada-assets/audios/sing.wav,,,,,,
ಕೊಡು,give,Verbs,kodu,https://ufmwnqllgqrfkdfahptv.supabase.co/storage/v1/object/public/kannada-assets/images/give.png,https://ufmwnqllgqrfkdfahptv.supabase.co/storage/v1/object/public/kannada-assets/audios/give.wav,,,,,,
ತಿನ್ನು,eat,Verbs,tinnu,https://ufmwnqllgqrfkdfahptv.supabase.co/storage/v1/object/public/kannada-assets/images/eat.png,https://ufmwnqllgqrfkdfahptv.supabase.co/storage/v1/object/public/kannada-assets/audios/eat.wav,,,,,,
ಕುಳಿತುಕೊ,sit,Verbs,kulithuko,https://ufmwnqllgqrfkdfahptv.supabase.co/storage/v1/object/public/kannada-assets/images/sit.png,https://ufmwnqllgqrfkdfahptv.supabase.co/storage/v1/object/public/kannada-assets/audios/sit.wav,,,,,,
ಓದು,read,Verbs,odu,https://ufmwnqllgqrfkdfahptv.supabase.co/storage/v1/object/public/kannada-assets/images/read.png,https://ufmwnqllgqrfkdfahptv.supabase.co/storage/v1/object/public/kannada-assets/audios/read.wav,,,,,,
ಬರೆ,write,Verbs,bare,https://ufmwnqllgqrfkdfahptv.supabase.co/storage/v1/object/public/kannada-assets/images/write.png,https://ufmwnqllgqrfkdfahptv.supabase.co/storage/v1/object/public/kannada-assets/audios/write.wav,,,,,,
ನಡೆ,walk,Verbs,nade,https://ufmwnqllgqrfkdfahptv.supabase.co/storage/v1/object/public/kannada-assets/images/walk.png,https://ufmwnqllgqrfkdfahptv.supabase.co/storage/v1/object/public/kannada-assets/audios/walk.wav,,,,,,
ನೋಡು,look,Verbs,nodu,https://ufmwnqllgqrfkdfahptv.supabase.co/storage/v1/object/public/kannada-assets/images/look.png,https://ufmwnqllgqrfkdfahptv.supabase.co/storage/v1/object/public/kannada-assets/audios/look.wav,,,,,,
ಕೇಳು,listen,Verbs,keLu,https://ufmwnqllgqrfkdfahptv.supabase.co/storage/v1/object/public/kannada-assets/images/listen.png,https://ufmwnqllgqrfkdfahptv.supabase.co/storage/v1/object/public/kannada-assets/audios/listen.wav,,,,,,
ಮಾತನಾಡು,speak,Verbs,maatanaadu,https://ufmwnqllgqrfkdfahptv.supabase.co/storage/v1/object/public/kannada-assets/images/speak.png,https://ufmwnqllgqrfkdfahptv.supabase.co/storage/v1/object/public/kannada-assets/audios/speak.wav,,,,,,
ಆಡು,play,Verbs,aadu,https://ufmwnqllgqrfkdfahptv.supabase.co/storage/v1/object/public/kannada-assets/images/play.png,https://ufmwnqllgqrfkdfahptv.supabase.co/storage/v1/object/public/kannada-assets/audios/play.wav,,,,,,
ಹಾರು,fly,Verbs,haaru,https://ufmwnqllgqrfkdfahptv.supabase.co/storage/v1/object/public/kannada-assets/images/fly.png,https://ufmwnqllgqrfkdfahptv.supabase.co/storage/v1/object/public/kannada-assets/audios/fly.wav,,,,,,
ತಬ್ಬಿಕೊ,hug,Verbs,tabbiko,https://ufmwnqllgqrfkdfahptv.supabase.co/storage/v1/object/public/kannada-assets/images/hug.png,https://ufmwnqllgqrfkdfahptv.supabase.co/storage/v1/object/public/kannada-assets/audios/hug.wav,,,,,,
ಓಡು,run,Verbs,odu,https://ufmwnqllgqrfkdfahptv.supabase.co/storage/v1/object/public/kannada-assets/images/run.png,https://ufmwnqllgqrfkdfahptv.supabase.co/storage/v1/object/public/kannada-assets/audios/run.wav,,,,,,
ಕುಡಿ,drink,Verbs,kudi,https://ufmwnqllgqrfkdfahptv.supabase.co/storage/v1/object/public/kannada-assets/images/drink.png,https://ufmwnqllgqrfkdfahptv.supabase.co/storage/v1/object/public/kannada-assets/audios/drink.wav,,,,,,
ಅಳು,cry,Verbs,aLu,https://ufmwnqllgqrfkdfahptv.supabase.co/storage/v1/object/public/kannada-assets/images/cry.png,https://ufmwnqllgqrfkdfahptv.supabase.co/storage/v1/object/public/kannada-assets/audios/cry.wav,,,,,,
ಮುಚ್ಚು,close,Verbs,muchchu,https://ufmwnqllgqrfkdfahptv.supabase.co/storage/v1/object/public/kannada-assets/images/close.png,https://ufmwnqllgqrfkdfahptv.supabase.co/storage/v1/object/public/kannada-assets/audios/close.wav,,,,,,
ತಳ್ಳು,push,Verbs,taLlu,https://ufmwnqllgqrfkdfahptv.supabase.co/storage/v1/object/public/kannada-assets/images/push.png,https://ufmwnqllgqrfkdfahptv.supabase.co/storage/v1/object/public/kannada-assets/audios/push.wav,,,,,,
ಎಳೆ,pull,Verbs,eLe,https://ufmwnqllgqrfkdfahptv.supabase.co/storage/v1/object/public/kannada-assets/images/pull.png,https://ufmwnqllgqrfkdfahptv.supabase.co/storage/v1/object/public/kannada-assets/audios/pull.wav,,,,,,
ಹುಡುಗ,boy,People,huduga,https://ufmwnqllgqrfkdfahptv.supabase.co/storage/v1/object/public/kannada-assets/images/boy.png,https://ufmwnqllgqrfkdfahptv.supabase.co/storage/v1/object/public/kannada-assets/audios/boy.wav,,,,,,
ಹುಡುಗಿ,girl,People,hudugi,https://ufmwnqllgqrfkdfahptv.supabase.co/storage/v1/object/public/kannada-assets/images/girl.png,https://ufmwnqllgqrfkdfahptv.supabase.co/storage/v1/object/public/kannada-assets/audios/girl.wav,,,,,,
ಪುರಷ,man,People,purusha,https://ufmwnqllgqrfkdfahptv.supabase.co/storage/v1/object/public/kannada-assets/images/man.png,https://ufmwnqllgqrfkdfahptv.supabase.co/storage/v1/object/public/kannada-assets/audios/man.wav,,,,,,
ಮಹಿಳೆ,woman,People,mahile,https://ufmwnqllgqrfkdfahptv.supabase.co/storage/v1/object/public/kannada-assets/images/woman.png,https://ufmwnqllgqrfkdfahptv.supabase.co/storage/v1/object/public/kannada-assets/audios/woman.wav,,,,,,
ಅಜ್ಜ,grandfather,People,ajja,https://ufmwnqllgqrfkdfahptv.supabase.co/storage/v1/object/public/kannada-assets/images/grandfather.png,https://ufmwnqllgqrfkdfahptv.supabase.co/storage/v1/object/public/kannada-assets/audios/grandfather.wav,,,,,,
ಅಜ್ಜಿ,grandmother,People,ajji,https://ufmwnqllgqrfkdfahptv.supabase.co/storage/v1/object/public/kannada-assets/images/grandmother.png,https://ufmwnqllgqrfkdfahptv.supabase.co/storage/v1/object/public/kannada-assets/audios/grandmother.wav,,,,,,
ಶೀಘ್ರವಾಗಿ,quickly,Adverbs,sheeghravagi,https://ufmwnqllgqrfkdfahptv.supabase.co/storage/v1/object/public/kannada-assets/images/quickly.png,https://ufmwnqllgqrfkdfahptv.supabase.co/storage/v1/object/public/kannada-assets/audios/quickly.wav,,,,,,
ನಿಧಾನವಾಗಿ,slowly,Adverbs,nidhānāvagi,https://ufmwnqllgqrfkdfahptv.supabase.co/storage/v1/object/public/kannada-assets/images/slowly.png,https://ufmwnqllgqrfkdfahptv.supabase.co/storage/v1/object/public/kannada-assets/audios/slowly.wav,,,,,,
ಸುಲಭವಾಗಿ,easily,Adverbs,sulabhāvagi,https://ufmwnqllgqrfkdfahptv.supabase.co/storage/v1/object/public/kannada-assets/images/easily.png,https://ufmwnqllgqrfkdfahptv.supabase.co/storage/v1/object/public/kannada-assets/audios/easily.wav,,,,,,
ಕಠಿಣವಾಗಿ,hard,Adverbs,kaṭhiṇāvagi,https://ufmwnqllgqrfkdfahptv.supabase.co/storage/v1/object/public/kannada-assets/images/hard.png,https://ufmwnqllgqrfkdfahptv.supabase.co/storage/v1/object/public/kannada-assets/audios/hard.wav,,,,,,
ಚೆನ್ನಾಗಿ,well,Adverbs,chennāgi,https://ufmwnqllgqrfkdfahptv.supabase.co/storage/v1/object/public/kannada-assets/images/well.png,https://ufmwnqllgqrfkdfahptv.supabase.co/storage/v1/object/public/kannada-assets/audios/well.wav,,,,,,
ತಪ್ಪದೆ,certainly,Adverbs,tappade,https://ufmwnqllgqrfkdfahptv.supabase.co/storage/v1/object/public/kannada-assets/images/certainly.png,https://ufmwnqllgqrfkdfahptv.supabase.co/storage/v1/object/public/kannada-assets/audios/certainly.wav,,,,,,
ಖಂಡಿತ,absolutely,Adverbs,khaṇḍitāvagi,https://ufmwnqllgqrfkdfahptv.supabase.co/storage/v1/object/public/kannada-assets/images/absolutely.png,https://ufmwnqllgqrfkdfahptv.supabase.co/storage/v1/object/public/kannada-assets/audios/absolutely.wav,,,,,,
ಸುತ್ತಲೂ,around,Adverbs,suttalū,https://ufmwnqllgqrfkdfahptv.supabase.co/storage/v1/object/public/kannada-assets/images/around.png,https://ufmwnqllgqrfkdfahptv.supabase.co/storage/v1/object/public/kannada-assets/audios/around.wav,,,,,,
ಅಲ್ಲಿ,there,Adverbs,alli,https://ufmwnqllgqrfkdfahptv.supabase.co/storage/v1/object/public/kannada-assets/images/there.png,https://ufmwnqllgqrfkdfahptv.supabase.co/storage/v1/object/public/kannada-assets/audios/there.wav,,,,,,https://upcdn.io/kW15bgo/raw/learnkannada/audio/slowly.wav
ಇಲ್ಲಿ,here,Adverbs,illi,https://ufmwnqllgqrfkdfahptv.supabase.co/storage/v1/object/public/kannada-assets/images/here.png,https://ufmwnqllgqrfkdfahptv.supabase.co/storage/v1/object/public/kannada-assets/audios/here.wav,,,,,,
ಯಾವಾಗಲೂ,always,Adverbs,yāvāgalū,https://ufmwnqllgqrfkdfahptv.supabase.co/storage/v1/object/public/kannada-assets/images/always.png,https://ufmwnqllgqrfkdfahptv.supabase.co/storage/v1/object/public/kannada-assets/audios/always.wav,,,,,,
ಹದಿಮೂರು,thirteen,Numbers,hadhimooru,https://ufmwnqllgqrfkdfahptv.supabase.co/storage/v1/object/public/kannada-assets/images/thirteen.png,https://ufmwnqllgqrfkdfahptv.supabase.co/storage/v1/object/public/kannada-assets/audios/thirteen.mp3,,,,,,
ಹನ್ನೊಂದು,eleven,Numbers,hannondu,https://ufmwnqllgqrfkdfahptv.supabase.co/storage/v1/object/public/kannada-assets/images/eleven.png,https://ufmwnqllgqrfkdfahptv.supabase.co/storage/v1/object/public/kannada-assets/audios/eleven.mp3,,,,,,
ಹನ್ನೆರಡು,twelve,Numbers,hanneradu,https://ufmwnqllgqrfkdfahptv.supabase.co/storage/v1/object/public/kannada-assets/images/twelve.png,https://ufmwnqllgqrfkdfahptv.supabase.co/storage/v1/object/public/kannada-assets/audios/twelve.mp3,,,,,,
ಇಪ್ಪತ್ತು,twenty,Numbers,ippatthu,https://ufmwnqllgqrfkdfahptv.supabase.co/storage/v1/object/public/kannada-assets/images/twenty.png,https://ufmwnqllgqrfkdfahptv.supabase.co/storage/v1/object/public/kannada-assets/audios/twenty.mp3,,,,,,
ಮೂವತ್ತು,thirty,Numbers,moovatthu,https://ufmwnqllgqrfkdfahptv.supabase.co/storage/v1/object/public/kannada-assets/images/thirty.png,https://ufmwnqllgqrfkdfahptv.supabase.co/storage/v1/object/public/kannada-assets/audios/thirty.mp3,,,,,,
ನಲವತ್ತು,forty,Numbers,nalavatthu,https://ufmwnqllgqrfkdfahptv.supabase.co/storage/v1/object/public/kannada-assets/images/forty.png,https://ufmwnqllgqrfkdfahptv.supabase.co/storage/v1/object/public/kannada-assets/audios/forty.mp3,,,,,,
ಅರವತ್ತು,sixty,Numbers,aravatthu,https://ufmwnqllgqrfkdfahptv.supabase.co/storage/v1/object/public/kannada-assets/images/sixty.png,https://ufmwnqllgqrfkdfahptv.supabase.co/storage/v1/object/public/kannada-assets/audios/sixty.mp3,,,,,,
ಎಪ್ಪತ್ತು,seventy,Numbers,eppatthu,https://ufmwnqllgqrfkdfahptv.supabase.co/storage/v1/object/public/kannada-assets/images/seventy.png,https://ufmwnqllgqrfkdfahptv.supabase.co/storage/v1/object/public/kannada-assets/audios/seventy.mp3,,,,,,
ಎಂಬತ್ತು,eighty,Numbers,embatthu,https://ufmwnqllgqrfkdfahptv.supabase.co/storage/v1/object/public/kannada-assets/images/eighty.png,https://ufmwnqllgqrfkdfahptv.supabase.co/storage/v1/object/public/kannada-assets/audios/eighty.mp3,,,,,,
ತೊಂಬತ್ತು,ninety,Numbers,thombatthu,https://ufmwnqllgqrfkdfahptv.supabase.co/storage/v1/object/public/kannada-assets/images/ninety.png,https://ufmwnqllgqrfkdfahptv.supabase.co/storage/v1/object/public/kannada-assets/audios/ninety.mp3,,,,,,
ಹತ್ತು ಸಾವಿರ,ten thousand,Numbers,hatthu saavira,https://ufmwnqllgqrfkdfahptv.supabase.co/storage/v1/object/public/kannada-assets/images/ten_thousand.png,https://ufmwnqllgqrfkdfahptv.supabase.co/storage/v1/object/public/kannada-assets/audios/ten_thousand.mp3,,,,,,
ಹದಿನಾಲ್ಕು,fourteen,Numbers,hadhinaalku,https://ufmwnqllgqrfkdfahptv.supabase.co/storage/v1/object/public/kannada-assets/images/fourteen.png,https://ufmwnqllgqrfkdfahptv.supabase.co/storage/v1/object/public/kannada-assets/audios/fourteen.mp3,,,,,,
ಹದಿನೈದು,fifteen,Numbers,hadhinaidhu,https://ufmwnqllgqrfkdfahptv.supabase.co/storage/v1/object/public/kannada-assets/images/fifteen.png,https://ufmwnqllgqrfkdfahptv.supabase.co/storage/v1/object/public/kannada-assets/audios/fifteen.mp3,,,,,,
ಹದಿನಾರು,sixteen,Numbers,hadhinaaru,https://ufmwnqllgqrfkdfahptv.supabase.co/storage/v1/object/public/kannada-assets/images/sixteen.png,https://ufmwnqllgqrfkdfahptv.supabase.co/storage/v1/object/public/kannada-assets/audios/sixteen.mp3,,,,,,
ಹದಿನೇಳು,seventeen,Numbers,hadhinelu,https://ufmwnqllgqrfkdfahptv.supabase.co/storage/v1/object/public/kannada-assets/images/seventeen.png,https://ufmwnqllgqrfkdfahptv.supabase.co/storage/v1/object/public/kannada-assets/audios/seventeen.mp3,,,,,,
ಹದಿನೆಂಟು,eighteen,Numbers,hadhinentu,https://ufmwnqllgqrfkdfahptv.supabase.co/storage/v1/object/public/kannada-assets/images/eighteen.png,https://ufmwnqllgqrfkdfahptv.supabase.co/storage/v1/object/public/kannada-assets/audios/eighteen.mp3,,,,,,
ಹತ್ತೊಂಬತ್ತು,nineteen,Numbers,hatthombatthu,https://ufmwnqllgqrfkdfahptv.supabase.co/storage/v1/object/public/kannada-assets/images/nineteen.png,https://ufmwnqllgqrfkdfahptv.supabase.co/storage/v1/object/public/kannada-assets/audios/nineteen.mp3,,,,,,
ಎಮ್ಮೆ,buffalo,Animals,emme,https://ufmwnqllgqrfkdfahptv.supabase.co/storage/v1/object/public/kannada-assets/images/buffalo.png,https://ufmwnqllgqrfkdfahptv.supabase.co/storage/v1/object/public/kannada-assets/audios/buffalo.mp3,,,,,,
ಒಂಟೆ,camel,Animals,onte,https://ufmwnqllgqrfkdfahptv.supabase.co/storage/v1/object/public/kannada-assets/images/camel.png,https://ufmwnqllgqrfkdfahptv.supabase.co/storage/v1/object/public/kannada-assets/audios/camel.mp3,,,,,,
ಹಲ್ಲಿ,lizard,Animals,halli,https://ufmwnqllgqrfkdfahptv.supabase.co/storage/v1/object/public/kannada-assets/images/lizard.png,https://ufmwnqllgqrfkdfahptv.supabase.co/storage/v1/object/public/kannada-assets/audios/lizard.mp3,,,,,,
ಗಿಣಿ,parrot,Animals,gini,https://ufmwnqllgqrfkdfahptv.supabase.co/storage/v1/object/public/kannada-assets/images/parrot.png,https://ufmwnqllgqrfkdfahptv.supabase.co/storage/v1/object/public/kannada-assets/audios/parrot.mp3,,,,,,
ಗುಬ್ಬಚ್ಚಿ,sparrow,Animals,gubbacchi,https://ufmwnqllgqrfkdfahptv.supabase.co/storage/v1/object/public/kannada-assets/images/sparrow.png,https://ufmwnqllgqrfkdfahptv.supabase.co/storage/v1/object/public/kannada-assets/audios/sparrow.mp3,,,,,,
ಅಳಿಲು,squirrel,Animals,alilu,https://ufmwnqllgqrfkdfahptv.supabase.co/storage/v1/object/public/kannada-assets/images/squirrel.png,https://ufmwnqllgqrfkdfahptv.supabase.co/storage/v1/object/public/kannada-assets/audios/squirrel.mp3,,,,,,
ಜೇನುನೋಣ,bee,Animals,jenunona,https://ufmwnqllgqrfkdfahptv.supabase.co/storage/v1/object/public/kannada-assets/images/bee.png,https://ufmwnqllgqrfkdfahptv.supabase.co/storage/v1/object/public/kannada-assets/audios/bee.mp3,,,,,,
ಇರುವೆ,ant,Animals,iruve,https://ufmwnqllgqrfkdfahptv.supabase.co/storage/v1/object/public/kannada-assets/images/ant.png,https://ufmwnqllgqrfkdfahptv.supabase.co/storage/v1/object/public/kannada-assets/audios/ant.mp3,,,,,,
ಹಾವು,snake,Animals,naavu,https://ufmwnqllgqrfkdfahptv.supabase.co/storage/v1/object/public/kannada-assets/images/snake.png,https://ufmwnqllgqrfkdfahptv.supabase.co/storage/v1/object/public/kannada-assets/audios/snake.mp3,,,,,,
ಇಲಿ,mouse,Animals,ili,https://ufmwnqllgqrfkdfahptv.supabase.co/storage/v1/object/public/kannada-assets/images/mouse.png,https://ufmwnqllgqrfkdfahptv.supabase.co/storage/v1/object/public/kannada-assets/audios/mouse.mp3,,,,,,
ಗೂಬೆ,owl,Animals,goobe,https://ufmwnqllgqrfkdfahptv.supabase.co/storage/v1/object/public/kannada-assets/images/owl.png,https://ufmwnqllgqrfkdfahptv.supabase.co/storage/v1/object/public/kannada-assets/audios/owl.mp3,,,,,,
ಪಾರಿವಾಳ,pigeon,Animals,paarivaala,https://ufmwnqllgqrfkdfahptv.supabase.co/storage/v1/object/public/kannada-assets/images/pigeon.png,https://ufmwnqllgqrfkdfahptv.supabase.co/storage/v1/object/public/kannada-assets/audios/pigeon.mp3,,,,,,
ಏಡಿ,crab,Animals,edi ,https://ufmwnqllgqrfkdfahptv.supabase.co/storage/v1/object/public/kannada-assets/images/crab.png,https://ufmwnqllgqrfkdfahptv.supabase.co/storage/v1/object/public/kannada-assets/audios/crab.mp3,,,,,,
ತೋಳ,wolf,Animals,thola,https://ufmwnqllgqrfkdfahptv.supabase.co/storage/v1/object/public/kannada-assets/images/wolf.png,https://ufmwnqllgqrfkdfahptv.supabase.co/storage/v1/object/public/kannada-assets/audios/wolf.mp3,,,,,,
ಬಾವುಲಿ,bat,Animals,baavuli,https://ufmwnqllgqrfkdfahptv.supabase.co/storage/v1/object/public/kannada-assets/images/bat.png,https://ufmwnqllgqrfkdfahptv.supabase.co/storage/v1/object/public/kannada-assets/audios/bat.mp3,,,,,,
ಹುಲಿಮರಿ,tiger cub,Animals,hulimari,https://ufmwnqllgqrfkdfahptv.supabase.co/storage/v1/object/public/kannada-assets/images/tiger_cub.png,https://ufmwnqllgqrfkdfahptv.supabase.co/storage/v1/object/public/kannada-assets/audios/tiger_cub.mp3,,,,,,
ಕರು,calf,Animals,karu,https://ufmwnqllgqrfkdfahptv.supabase.co/storage/v1/object/public/kannada-assets/images/calf.png,https://ufmwnqllgqrfkdfahptv.supabase.co/storage/v1/object/public/kannada-assets/audios/calf.mp3,,,,,,
ಬೆಕ್ಕಿನ ಮರಿ,kitten,Animals,bekkinamari,https://ufmwnqllgqrfkdfahptv.supabase.co/storage/v1/object/public/kannada-assets/images/kitten.png,https://ufmwnqllgqrfkdfahptv.supabase.co/storage/v1/object/public/kannada-assets/audios/kitten.mp3,,,,,,
ಕೋಳಿಮರಿ,chick,Animals,kolimari,https://ufmwnqllgqrfkdfahptv.supabase.co/storage/v1/object/public/kannada-assets/images/chick.png,https://ufmwnqllgqrfkdfahptv.supabase.co/storage/v1/object/public/kannada-assets/audios/chick.mp3,,,,,,
ಬೆರಳು,finger,Body Parts,beralu,https://ufmwnqllgqrfkdfahptv.supabase.co/storage/v1/object/public/kannada-assets/images/finger.png,https://ufmwnqllgqrfkdfahptv.supabase.co/storage/v1/object/public/kannada-assets/audios/finger.mp3,,,,,,
ಈರುಳ್ಳಿ,onion,Food,eerulli,https://ufmwnqllgqrfkdfahptv.supabase.co/storage/v1/object/public/kannada-assets/images/onion.png,https://ufmwnqllgqrfkdfahptv.supabase.co/storage/v1/object/public/kannada-assets/audios/onion.mp3,,,,,,
ಆಲೂಗಡ್ಡೆ,potato,Food,aaloogadde,https://ufmwnqllgqrfkdfahptv.supabase.co/storage/v1/object/public/kannada-assets/images/potato.png,https://ufmwnqllgqrfkdfahptv.supabase.co/storage/v1/object/public/kannada-assets/audios/potato.mp3,,,,,,
ಬೆಂಡೆಕಾಯಿ,ladyfinger,Food,bendekaayi,https://ufmwnqllgqrfkdfahptv.supabase.co/storage/v1/object/public/kannada-assets/images/ladyfinger.png,https://ufmwnqllgqrfkdfahptv.supabase.co/storage/v1/object/public/kannada-assets/audios/ladyfinger.mp3,,,,,,
ಹಾಗಲಕಾಯಿ,bittergourd,Food,haagalakaayi,https://ufmwnqllgqrfkdfahptv.supabase.co/storage/v1/object/public/kannada-assets/images/bittergourd.png,https://ufmwnqllgqrfkdfahptv.supabase.co/storage/v1/object/public/kannada-assets/audios/bittergourd.mp3,,,,,,
ಹೀರೆಕಾಯಿ,ridgegourd,Food,heerekaayi,https://ufmwnqllgqrfkdfahptv.supabase.co/storage/v1/object/public/kannada-assets/images/ridgegourd.png,https://ufmwnqllgqrfkdfahptv.supabase.co/storage/v1/object/public/kannada-assets/audios/ridgegourd.mp3,,,,,,
ಪಡವಲಕಾಯಿ,snakegourd,Food,padavalakaayi,https://ufmwnqllgqrfkdfahptv.supabase.co/storage/v1/object/public/kannada-assets/images/snakegourd.png,https://ufmwnqllgqrfkdfahptv.supabase.co/storage/v1/object/public/kannada-assets/audios/snakegourd.mp3,,,,,,
